,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM_C73T74: R&D and other business activities,8,1571.7,931,1296.5,1104.3,116,328.6,120.8,1139.2,337,321.8,1071.4,123.6,805.2,953.8,844.7,645.1,183.4,234.4,421.5,3652.5,3895.8,701,922.2,355,926.3,1924.8,13.3,274.8,902.8,871.2,542.2,139.4,671.1,0,1005.2,0,19654.6,317,36.9,0,0,4950.6,0
DOM_C75: Public administration and defence; compulsory social security,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104413.5,0,2.1,0,0,0,0
DOM_C80: Education,7,224.7,231.8,65.3,100.6,14.6,75.1,18.7,122.6,51.4,63.3,263.5,29.6,151.6,52.7,62.3,78.6,16.5,24.5,130.1,285.6,457.8,142.6,325.8,86.2,323.5,79.5,1.8,37.7,123.9,620.3,218.8,138.9,125.8,0,23507.6,0,42374.8,0,2.5,0,159.7,0,0
DOM_C85: Health and social work,7,107.2,212.3,169.4,179.3,20.4,50.1,16.7,110.7,12.4,36.3,122.2,62.5,157,33.1,16,102.2,59.9,19.9,154.6,104.5,28.2,23.6,206.8,8.2,180,6.3,1.4,28.6,94.1,213,256.8,128.8,111.3,0,17876,0,25392.2,0,3.6,0,140.1,0,0
"DOM_C90T93: Other community, social and personal services",9,993.4,1116.3,589.5,876.6,134.5,456.7,285.6,1267.4,307.3,527.8,1330.5,440,954.4,433.1,600.6,400.8,72.2,167.6,1918.4,605.8,5012.9,396.2,685.5,926.5,572,304.7,17.4,359.4,1180.4,1213.5,1686.1,378.6,4294.6,0,34884.7,0,10856.5,0,91.9,0,3435.8,3991.5,0
DOM_C95: Private households with employed persons,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products,,2280.5,2023.6,632.8,1425,141.9,619.6,1140.2,1797.4,650.5,555.9,1489.3,408.7,1184.2,1174.5,764.4,1929.2,136.1,447,1285.5,2410.2,1871.7,1225.1,3921.4,312.8,1965.5,1191.9,25.6,42.6,434.4,1611.2,595.4,593.4,1194.6,0,34492.5,0,0,0,0,0,98.5,0,0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices,,140231.5,54632,111957.6,145237.5,18059,49349.1,56663.4,118448.6,58211.3,43697.2,124753.4,47154.8,96348.6,122232.8,78543.9,64147.5,20820.9,27003.3,61671.1,218249.5,108140.5,50566.1,86499,23423.5,26412.3,26248.1,433.6,8261.4,27626.1,54943.1,30910.6,25428,49074.2,0,612699.3,0,210194.3,450233.4,43502.4,14879.5,19002.9,270862,261974.8
VALU: Value added at basic prices,,188377.4,62526.5,51398,47884.1,6133.3,21216.5,10149.5,41487.4,18744,20038.4,34043.2,13088.3,35256.9,34048.5,21687.5,19411.1,6272.4,18173.7,47158.1,69257.2,108299.4,27770.5,76499.9,26421.8,50625.2,55772.3,484.8,3353.4,26680.3,49475.6,39879.9,21018,34692.3,0,0,0,0,0,0,0,0,0,0
OUTPUT: Output,,328608.9,117158.6,163355.7,193121.6,24192.4,70565.6,66813,159936,76955.3,63735.6,158796.6,60243.2,131605.5,156281.4,100231.5,83558.7,27093.4,45177,108829.1,287506.7,216439.9,78336.6,162998.9,49845.4,77037.5,82020.4,918.4,11614.7,54306.4,104418.7,70790.5,46446,83766.5,0,0,0,0,0,0,0,0,0,0
Data extracted on 14 Apr 2019 21:04 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
